Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
75077-1,Star Wars,MicroFighters,2015,Homing Spider Droid,1,102,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,12.1,10.23
75078-1,Star Wars,Rebels,2015,Imperial Troop Transport,4,141,11.99,12.99,15.99,5.70202E+12,6.73419E+11,,1,19.34,12.9
75079-1,Star Wars,Legends,2015,Shadow Troopers,4,95,11.99,12.99,15.99,5.70202E+12,6.73419E+11,,1,16.83,13.02
75080-1,Star Wars,Episode I,2015,AAT,3,251,24.99,24.99,29.99,5.70202E+12,6.73419E+11,,1,34.76,23.88
75081-1,Star Wars,Episode IV,2015,T-16 Skyhopper,2,247,24.99,24.99,29.99,5.70202E+12,6.73419E+11,,1,30.44,24.65
75082-1,Star Wars,Rebels,2015,TIE Advanced Prototype,3,355,39.99,39.99,49.99,5.70202E+12,6.73419E+11,,1,42.63,30.33
75083-1,Star Wars,Rebels,2015,AT-DP,4,500,49.99,49.99,59.99,5.70202E+12,6.73419E+11,,1,60.47,46.34
75084-1,Star Wars,Rebels,2015,Wookiee Gunship,4,570,59.99,69.99,89.99,5.70202E+12,6.73419E+11,,1,67.86,61.03
75085-1,Star Wars,Episode II,2015,Hailfire Droid,3,163,19.99,19.99,24.99,5.70202E+12,,,1,30.03,22.22
75086-1,Star Wars,Episode I,2015,Battle Droid Troop Carrier,15,565,39.99,39.99,49.99,,,,1,62.92,47.58
75087-1,Star Wars,Miscellaneous,2015,Anakin's Custom Jedi Starfighter,3,370,39.99,39.99,49.99,5.70202E+12,,,1,43.78,27.06
75088-1,Star Wars,Legends,2015,Senate Commando Troopers,4,106,11.99,12.99,15.99,5.70202E+12,6.73419E+11,,1,14.39,11.77
75089-1,Star Wars,Legends,2015,Geonosis Troopers,4,105,11.99,12.99,15.99,5.70202E+12,6.73419E+11,,1,16.87,10.6
75090-1,Star Wars,Rebels,2015,Ezra's Speeder Bike,3,253,19.99,19.99,24.99,5.70202E+12,6.73419E+11,,1,26.31,19.16
75091-1,Star Wars,Episode I,2015,Flash Speeder,5,312,34.99,29.99,39.99,5.70202E+12,6.73419E+11,,1,28.03,18.45
75092-1,Star Wars,Episode I,2015,Naboo Starfighter,9,442,54.99,49.99,59.99,5.70202E+12,6.73419E+11,,1,56.25,38.24
75093-1,Star Wars,Episode VI,2015,Death Star Final Duel,5,724,69.99,79.99,99.99,5.70202E+12,6.73419E+11,,1,86.85,65.22
75094-1,Star Wars,Episode VI,2015, Imperial Shuttle Tydirium,5,937,79.99,99.99,119.99,5.70202E+12,6.73419E+11,,1,103.08,89.39
75095-1,Star Wars,Ultimate Collector Series,2015,TIE Fighter,1,1685,179.99,199.99,229.99,,,,1,198.07,147.75
75096-1,Star Wars,Episode I,2015,Sith Infiltrator,8,662,84.99,89.99,119.99,,,,1,82.13,58.66
75097-1,Star Wars,Seasonal,2015,Star Wars Advent Calendar,9,292,24.99,39.99,49.99,5.70202E+12,,,1,39.52,35.99
75098-1,Star Wars,Ultimate Collector Series,2016,Assault on Hoth,15,2144,229.99,249.99,299.99,,,,1,229.9,213.31
75099-1,Star Wars,The Force Awakens,2015,Rey's Speeder,2,193,19.99,19.99,24.99,5.70202E+12,6.73419E+11,,1,17.47,13.31
75100-1,Star Wars,The Force Awakens,2015,First Order Snowspeeder,3,444,39.99,39.99,49.99,5.70202E+12,6.73419E+11,,1,33.02,18.29
75101-1,Star Wars,The Force Awakens,2015,First Order Special Forces TIE Fighter,4,517,64.99,69.99,89.99,5.70202E+12,6.73419E+11,,1,59.13,48.14
75102-1,Star Wars,The Force Awakens,2015,Poe's X-wing Fighter,4,717,69.99,79.99,99.99,5.70202E+12,6.73419E+11,,1,72.73,54.89
75103-1,Star Wars,The Force Awakens,2015,First Order Transporter,7,792,79.99,89.99,109.99,5.70202E+12,6.73419E+11,,1,86.31,69.83
75104-1,Star Wars,The Force Awakens,2015,Kylo Ren's Command Shuttle,6,1005,109.99,119.99,149.99,5.70202E+12,6.73419E+11,,1,88.75,74.24
75105-1,Star Wars,The Force Awakens,2015,Millennium Falcon,7,1329,139.99,149.99,179.99,5.70202E+12,6.73419E+11,,1,151.44,121.92
75106-1,Star Wars,Rebels,2015,Imperial Assault Carrier,6,1216,99.99,129.99,149.99,,6.73419E+11,,1,106.14,84.26
75107-1,Star Wars,Buildable Figures,2015,Jango Fett,,85,14.99,19.99,24.99,,6.73419E+11,,1,19.4,12.46
75108-1,Star Wars,Buildable Figures,2015,Clone Commander Cody,,82,14.99,19.99,24.99,,6.73419E+11,,1,18.03,11.18
